ORG_CODE,SIMPLE_ALL_STAFF_FTE,YEAR
RTK,6946.60491,2012
RTP,7223.40173,2012
RTQ,4458.71532,2012
RTR,18617.64847,2012
RTV,7772.16837,2012
RTX,9983.54489,2012
RV3,11631.93705,2012
RV5,10851.27748,2012
RV9,6314.63756,2012
RVJ,18658.52731,2012
RVN,8048.53076,2012
RVR,9117.93741,2012
RVV,16367.84842,2012
RVW,11666.79338,2012
RVY,7098.87318,2012
RW1,14937.28366,2012
RW3,26079.36533,2012
RW4,9127.17433,2012
RW5,15529.51475,2012
RW6,20641.94612,2012
RWA,16439.37134,2012
RWD,15011.44001,2012
RWE,23926.81664,2012
RWF,12291.9151,2012
RWG,8606.14012,2012
RWH,11303.2742,2012
RWJ,12308.40419,2012
RWK,8275.42038,2012
RWN,12879.17718,2012
RWP,11725.97485,2012
RWR,6395.02062,2012
RWV,5103.842,2012
RWW,8200.46474,2012
RWX,8992.34458,2012
RWY,12652.4275,2012
RX1,28069.2963,2012
RX2,9339.20592,2012
RX3,13856.36754,2012
RX4,14481.06426,2012
RX6,5542.52615,2012
RX7,11535.20198,2012
RX8,9602.83558,2012
RX9,6399.92145,2012
RXA,7534.79891,2012
RXC,15237.5436,2012
RXE,9354.37922,2012
RXF,17654.44549,2012
RXG,10774.83883,2012
RXH,14813.72873,2012
RXK,16462.34685,2012
RXL,13675.30039,2012
RXM,5212.26226,2012
RXN,14654.87038,2012
RXP,17027.97535,2012
RXQ,11843.21126,2012
RXR,15592.56575,2012
RXT,9214.67938,2012
RXV,6937.39653,2012
RXW,11070.47294,2012
RXX,6085.4491,2012
RXY,7231.37427,2012
RYA,8525.47058,2012
RYC,9365.04245,2012
RYD,6751.44,2012
RYE,5881.3499,2012
RYF,5446.46663,2012
RYG,9210.90446,2012
RYJ,20031.85995,2012
RYK,2458.62688,2012
RYR,13322.118,2012
T1150,371.04,2012
T1450,6689.96175,2012
T1460,14481.30102,2012
TAD,4233.89342,2012
TAE,4071.38097,2012
TAF,4341.76315,2012
TAH,6391.91728,2012
TAJ,4806.47805,2012
AHO,4337.4932,2013
RA2,7598.89847,2013
RA3,3636.59707,2013
RA4,4042.63758,2013
RA7,17010.79317,2013
RA9,9000.93434,2013
RAE,12157.68006,2013
RAJ,9922.32919,2013
RAL,11232.73996,2013
RAN,3111.79465,2013
RAP,5259.54068,2013
RAS,6294.26715,2013
RAT,12318.57651,2013
RAX,5770.4539,2013
RBA,8829.4577,2013
RBD,5196.47456,2013
RBK,9049.60147,2013
RBL,12424.25261,2013
RBN,9813.99755,2013
RBQ,3281.09939,2013
